1.000032424926757812e+00,1.999995470046997070e+00,4.999960362911224365e-01
1.000108122825622559e+00,1.999984979629516602e+00,4.999869763851165771e-01
1.000227093696594238e+00,1.999968290328979492e+00,4.999730885028839111e-01
1.000389456748962402e+00,1.999944925308227539e+00,4.999545812606811523e-01
1.000595211982727051e+00,1.999914288520812988e+00,4.999317526817321777e-01
1.000844597816467285e+00,1.999875664710998535e+00,4.999048411846160889e-01
1.001137375831604004e+00,1.999828100204467773e+00,4.998740553855895996e-01
1.001473546028137207e+00,1.999770641326904297e+00,4.998396337032318115e-01
1.001853227615356445e+00,1.999702095985412598e+00,4.998017251491546631e-01
1.002276182174682617e+00,1.999621033668518066e+00,4.997604787349700928e-01
1.002742171287536621e+00,1.999525904655456543e+00,4.997161030769348145e-01
1.003251075744628906e+00,1.999415159225463867e+00,4.996687173843383789e-01
1.003802537918090820e+00,1.999287128448486328e+00,4.996186494827270508e-01
1.004396319389343262e+00,1.999140024185180664e+00,4.995662271976470947e-01
1.005031824111938477e+00,1.998971819877624512e+00,4.995118379592895508e-01
1.005708694458007812e+00,1.998780608177185059e+00,4.994560182094573975e-01
1.006426215171813965e+00,1.998564124107360840e+00,4.993993043899536133e-01
1.007183909416198730e+00,1.998320460319519043e+00,4.993422925472259521e-01
1.007980942726135254e+00,1.998047113418579102e+00,4.992855489253997803e-01
1.008816361427307129e+00,1.997742176055908203e+00,4.992296695709228516e-01
1.009689450263977051e+00,1.997403144836425781e+00,4.991752505302429199e-01
1.010599017143249512e+00,1.997027754783630371e+00,4.991227984428405762e-01
1.011544108390808105e+00,1.996613740921020508e+00,4.990728199481964111e-01
1.012523412704467773e+00,1.996158838272094727e+00,4.990257024765014648e-01
1.013535737991333008e+00,1.995660662651062012e+00,4.989818632602691650e-01
1.014579653739929199e+00,1.995117306709289551e+00,4.989416003227233887e-01
1.015653848648071289e+00,1.994526147842407227e+00,4.989051818847656250e-01
1.016756892204284668e+00,1.993885397911071777e+00,4.988728165626525879e-01
1.017887115478515625e+00,1.993192672729492188e+00,4.988446831703186035e-01
1.019042968750000000e+00,1.992446184158325195e+00,4.988208711147308350e-01
1.020222783088684082e+00,1.991643667221069336e+00,4.988014698028564453e-01
1.021425008773803711e+00,1.990783333778381348e+00,4.987865686416625977e-01
1.022647738456726074e+00,1.989863395690917969e+00,4.987761378288269043e-01
1.023889422416687012e+00,1.988881945610046387e+00,4.987701773643493652e-01
1.025148153305053711e+00,1.987837314605712891e+00,4.987686574459075928e-01
1.026422262191772461e+00,1.986727714538574219e+00,4.987715482711791992e-01
1.027709841728210449e+00,1.985551714897155762e+00,4.987787306308746338e-01
1.029008984565734863e+00,1.984307765960693359e+00,4.987901449203491211e-01
1.030318140983581543e+00,1.982994437217712402e+00,4.988056719303131104e-01
1.031635165214538574e+00,1.981610178947448730e+00,4.988251924514770508e-01
1.032958507537841797e+00,1.980153918266296387e+00,4.988485574722290039e-01
1.034286141395568848e+00,1.978624224662780762e+00,4.988756179809570312e-01
1.035616517066955566e+00,1.977020025253295898e+00,4.989062249660491943e-01
1.036947607994079590e+00,1.975340247154235840e+00,4.989401698112487793e-01
1.038277745246887207e+00,1.973583698272705078e+00,4.989772737026214600e-01
1.039605140686035156e+00,1.971749424934387207e+00,4.990173280239105225e-01
1.040928244590759277e+00,1.969836592674255371e+00,4.990601241588592529e-01
1.042245149612426758e+00,1.967844367027282715e+00,4.991054236888885498e-01
1.043554425239562988e+00,1.965771675109863281e+00,4.991530179977416992e-01
